ip,bandwidth,loss,latency
104.21.211.138,277110,0.20,211
104.24.43.148,448732,0.10,160
162.159.133.212,561780,0.10,242
104.16.84.147,388111,0.00,151
104.17.199.158,318889,0.20,162
104.19.55.248,426614,0.00,153
104.19.152.15,369270,0.30,165
104.21.91.134,345922,0.10,153
104.23.108.21,1920230,0.20,180
104.24.22.242,2112549,0.00,164
104.24.27.240,279977,100.00,0
104.16.109.191,317660,0.10,146
104.16.127.36,4714,100.00,0
104.17.80.40,908,100.00,0
104.18.23.128,421289,100.00,0
104.19.76.76,294722,0.30,156
104.28.156.70,561781,0.10,149
104.31.0.195,726188,100.00,0
172.67.111.46,449961,0.00,165
104.17.157.185,473308,0.00,186
104.18.5.30,286120,0.20,154
104.31.132.50,318480,0.40,201
172.67.231.159,283254,0.30,247
104.23.96.191,152591,100.00,0
104.27.170.0,517545,0.00,144
162.159.230.44,564649,0.20,154
172.67.28.105,547445,0.10,165
104.17.237.106,386063,0.10,145
104.18.62.155,0,100.00,0
104.21.43.247,1868832,0.20,166
104.27.75.151,815570,0.20,189
104.17.33.81,445865,100.00,0
172.64.143.249,434396,0.40,214
172.67.38.121,441769,0.00,188
104.16.246.201,481090,0.00,164
104.18.204.177,508942,0.10,152
104.19.193.124,492969,0.10,154
104.28.1.110,394665,0.10,153
104.27.29.114,401628,0.20,153
104.28.202.23,528194,100.00,0
172.64.94.123,330357,0.00,196
104.16.105.254,565468,0.00,141
104.16.134.50,290217,0.10,156
104.17.163.75,708009,0.40,160
104.20.95.175,327081,0.10,190
104.24.254.40,316021,0.20,148
104.25.127.6,587177,0.10,190
104.25.182.98,495017,0.00,154
104.16.11.88,502798,0.10,152
104.17.102.159,375413,0.10,159
104.17.164.153,517545,100.00,0
104.19.147.170,381094,0.00,146
104.21.238.250,193142,0.10,168
104.24.209.154,602742,0.00,140
104.25.251.116,409001,0.00,199
104.27.25.210,716334,0.00,196
104.16.152.15,490512,0.20,155
104.17.89.152,334044,0.10,184
104.19.171.152,370908,100.00,0
104.22.15.63,422108,0.10,154
104.24.156.24,0,0.10,150
104.31.148.83,593730,0.00,168
104.31.199.106,284482,100.00,0
172.67.203.111,522050,100.00,0
104.16.54.250,399990,100.00,0
104.16.158.255,165699,0.00,142
104.18.175.227,194,0.10,142
104.28.215.30,242294,0.00,163
104.17.95.76,400399,0.10,170
104.23.128.208,2099806,0.00,143
172.67.114.157,473308,0.00,194
172.67.205.89,679746,0.00,168
104.25.41.241,465525,100.00,0
104.27.69.16,323804,0.10,172
104.31.197.196,958922,0.10,166
104.16.8.175,806174,0.00,151
104.16.108.41,448732,0.30,175
104.20.18.121,308649,100.00,0
104.20.124.232,297999,100.00,0
104.20.187.152,392207,0.10,190
104.17.0.64,303324,100.00,0
104.21.62.138,279977,0.00,157
104.31.224.107,250895,0.10,165
172.67.219.244,305782,0.10,183
172.67.227.52,247618,100.00,0
104.17.71.44,393026,0.10,177
104.17.140.45,842796,0.30,159
104.20.21.21,463478,0.10,153
104.20.116.43,584719,100.00,0
104.24.36.140,382786,0.00,174
104.16.65.159,241474,100.00,0
104.18.57.28,0,0.30,168
104.24.113.129,691625,0.10,236
104.27.11.118,368860,0.00,174
104.24.90.250,311106,0.00,153
104.17.107.25,504847,100.00,0
104.19.113.247,565468,0.20,213
162.159.208.67,434805,0.00,159
172.67.35.119,465525,0.00,163
104.17.148.220,476585,0.00,151
104.18.84.200,551951,100.00,0
104.24.184.30,345922,0.00,165
104.28.70.166,349199,0.10,149
104.17.111.95,375004,0.00,163
104.20.241.208,395484,0.00,179
104.28.234.198,987641,0.00,166
172.67.139.79,479862,0.00,163
104.16.232.172,296361,0.20,162
104.21.231.230,343465,0.30,154
104.24.109.76,350018,100.00,0
104.28.152.194,419650,0.20,148
104.31.153.168,291446,0.30,231
104.25.104.31,1192216,0.00,168
104.25.252.27,293903,0.00,193
104.27.156.93,387702,100.00,0
104.18.236.143,263593,0.00,174
104.18.251.52,550313,0.10,155
104.19.63.233,352886,0.10,222
104.22.55.230,266050,0.40,152
104.24.224.176,527785,0.00,185
104.25.14.228,290626,0.40,187
104.27.10.72,316431,0.30,207
104.31.4.204,531881,0.40,160
198.41.209.79,163,100.00,0
104.26.13.19,451599,0.20,155
104.31.64.244,412686,0.10,189
104.16.146.60,172032,100.00,0
104.17.108.46,363126,0.10,153
104.17.230.23,821598,0.10,176
104.24.192.185,188636,0.10,168
104.25.78.160,311106,0.10,167
104.18.85.42,497884,0.40,167
104.18.190.11,396713,0.00,170
104.19.150.237,422109,0.10,157
104.27.98.178,492559,100.00,0
104.28.244.21,518364,0.00,176
104.16.114.249,433577,0.00,159
104.18.77.66,532290,0.00,143
104.20.78.203,372137,0.10,158
104.27.30.232,517135,0.10,226
104.31.236.212,275061,0.20,196
172.67.144.190,2079576,0.10,210
172.67.145.64,317250,0.10,207
198.41.211.48,761287,0.20,246
104.16.237.140,526146,0.10,154
104.18.3.24,489282,0.00,150
104.20.232.194,780049,100.00,0
104.22.28.250,189046,0.00,149
104.27.130.71,888038,0.30,216
104.27.7.117,561372,100.00,0
172.67.141.152,634690,0.00,227
104.17.133.155,508943,0.30,178
104.17.192.226,1889326,0.00,142
104.18.131.191,449141,0.10,171
104.21.41.208,224681,100.00,0
104.25.131.128,484366,0.10,158
104.16.58.30,344284,0.20,168
104.25.80.34,1192442,100.00,0
104.28.154.166,449551,100.00,0
104.28.208.210,433986,0.00,164
104.31.72.143,314793,0.00,145
104.23.129.117,330767,0.10,152
104.25.44.190,332406,0.10,178
104.27.161.19,508124,0.40,155
104.16.23.47,457743,100.00,0
104.16.211.14,358210,0.00,165
104.19.151.29,558505,0.20,157
104.20.150.62,404086,0.10,208
104.21.85.236,1319861,0.30,165
104.31.185.26,263593,0.00,202
162.159.255.0,373365,0.10,182
104.16.161.14,265641,0.20,193
104.27.154.2,351655,0.10,162
172.67.59.78,604789,0.00,170
104.19.59.235,483958,0.10,167
104.21.57.134,406953,0.20,152
104.25.117.171,381148,0.20,163
104.27.3.36,2392102,0.20,147
172.67.21.179,506486,0.00,173
104.31.216.191,468391,100.00,0
172.67.173.40,497065,100.00,0
104.17.50.201,567925,0.20,156
104.17.216.92,1353743,0.00,149
104.19.144.50,321,0.10,147
104.25.25.8,322165,0.10,178
104.31.88.15,726397,0.00,198
104.16.153.113,2239878,0.00,146
104.18.9.58,491330,0.00,170
104.22.35.214,444636,0.00,157
172.64.192.59,607657,0.10,201
172.67.188.156,340188,0.10,179
104.16.163.62,429481,0.00,206
104.18.130.70,593730,0.10,156
104.20.144.160,458153,0.00,153
104.23.135.35,473717,0.00,179
172.67.117.135,279157,0.00,212
104.17.174.137,534338,0.00,175
104.19.121.207,410230,0.10,227
104.23.131.51,440950,0.10,159
104.25.202.170,433167,0.20,139
162.159.249.134,581852,0.10,193
162.159.245.94,592911,0.10,164
104.18.10.77,309058,0.30,169
104.19.32.245,375414,0.10,153
104.25.192.47,388110,0.10,177
104.31.13.209,571612,0.20,156
104.31.166.73,616258,0.00,153
104.16.206.84,769054,0.30,164
104.17.161.221,402855,0.10,141
104.21.0.110,343874,0.00,178
104.25.235.14,295542,100.00,0
172.64.171.120,239017,100.00,0
104.24.237.4,409001,100.00,0
104.25.229.77,644930,0.20,144
172.67.169.40,719948,0.10,147
104.18.104.199,579393,0.10,142
104.19.1.203,591273,0.00,145
104.19.43.161,366402,0.00,180
104.21.110.89,453647,0.10,154
104.24.60.105,520002,0.00,155
104.22.45.148,262362,0.00,166
104.24.106.39,261135,0.00,138
104.28.176.82,477812,100.00,0
104.17.67.76,317250,0.10,168
104.17.100.187,590863,0.10,156
104.18.119.151,268098,100.00,0
104.18.248.33,507305,0.00,141
104.20.22.242,576937,0.20,152
104.28.201.73,503151,0.00,154
104.31.179.38,493378,0.20,153
104.16.35.253,397531,0.10,197
104.16.63.233,631824,100.00,0
104.16.156.98,17036,0.00,0
104.20.133.60,495426,100.00,0
104.31.192.250,1238735,0.10,151
104.31.251.19,271374,0.00,165
104.17.42.240,1577754,100.00,0
104.19.19.128,383196,0.10,163
104.20.19.172,519593,100.00,0
104.20.161.54,372956,100.00,0
104.28.170.13,456103,0.30,154
104.20.29.240,520002,0.30,162
104.20.205.4,452009,0.30,161
104.23.138.140,182901,0.20,150
172.67.34.56,513858,100.00,0
104.16.55.103,362,100.00,0
104.21.99.126,365174,0.40,141
104.28.57.26,544988,0.00,167
172.64.89.37,620354,0.00,177
172.67.42.92,317660,0.00,146
104.31.73.119,454466,0.00,153
104.31.243.65,671964,0.10,255
104.16.38.146,376233,0.10,156
104.20.125.0,251714,100.00,0
104.21.66.235,0,100.00,0
104.25.65.20,365174,0.30,170
104.25.145.169,474537,0.10,139
104.27.185.4,431939,0.00,231
104.28.129.217,225909,0.20,219
172.67.138.105,596597,0.00,0
104.16.197.245,374185,0.10,142
104.24.178.143,299637,0.20,159
104.25.189.187,583900,0.00,150
104.25.203.72,300457,0.10,173
104.25.240.45,347970,0.00,201
104.17.229.204,455285,100.00,0
104.19.95.223,526964,0.20,212
104.28.30.164,391798,0.00,155
104.28.99.159,392207,0.20,194
104.27.112.50,294313,0.20,169
172.64.105.136,299636,0.00,161
104.19.98.66,487644,100.00,0
104.19.183.119,370498,0.00,159
104.21.194.9,437263,0.20,148
104.22.33.79,340188,0.30,179
104.24.101.132,293084,0.00,165
104.27.171.250,1698808,0.20,174
104.27.166.62,284482,0.40,167
172.67.222.94,455286,0.20,222
104.17.205.218,281615,0.50,152
104.19.52.75,420879,0.00,181
104.19.153.62,155868,0.30,188
104.27.2.22,419241,0.00,200
104.27.61.25,327900,0.30,141
172.64.203.107,495836,0.10,191
172.67.206.89,283254,0.20,188
104.20.166.19,337321,0.10,174
104.24.73.209,458153,0.20,154
104.24.141.160,252124,0.10,185
104.28.113.246,487644,0.00,155
104.31.241.71,509353,0.10,174
198.41.223.232,567926,0.10,153
104.19.53.25,486415,0.20,167
104.24.166.244,501980,0.20,165
104.24.217.238,449141,0.00,159
104.31.90.77,615440,100.00,0
104.31.140.229,372956,0.10,136
104.25.231.177,340188,0.20,174
104.27.162.218,344693,0.10,140
172.64.197.216,356162,0.00,162
104.17.128.154,484777,100.00,0
104.18.76.22,295951,0.30,194
104.22.41.252,311516,0.00,159
104.31.151.218,404905,0.00,161
104.22.30.22,438901,0.00,166
104.24.196.205,368860,0.10,188
104.27.150.23,295541,0.00,187
104.16.83.233,1114786,0.10,166
104.18.41.193,592911,0.00,211
104.19.119.115,304962,0.10,168
104.20.80.141,490511,0.10,143
104.20.163.252,976936,0.30,162
104.25.130.226,564648,100.00,0
104.31.162.191,368041,0.00,151
104.16.52.17,418832,100.00,0
104.16.254.70,471669,0.30,164
104.17.20.80,574070,0.00,164
104.20.93.115,412277,0.20,211
104.20.142.124,377871,0.40,148
104.31.226.254,469622,0.00,166
172.67.210.41,373366,0.10,181
190.93.246.78,194370,0.00,194
104.17.26.7,525327,0.20,144
104.18.209.219,481090,0.10,148
104.20.86.221,302095,0.20,154
104.21.76.148,256630,0.10,162
104.31.5.28,644930,0.00,163
104.19.7.227,563420,100.00,0
104.27.1.183,571612,0.00,142
104.28.241.71,349199,0.30,179
104.31.229.32,318479,0.10,181
172.67.43.93,442178,0.00,168
104.27.190.202,466755,0.10,136
104.31.165.83,483138,0.20,190
104.18.148.19,395074,0.10,168
104.21.109.116,509762,0.10,139
104.21.239.207,411458,0.10,151
104.24.185.204,2094755,0.00,155
104.27.105.171,621993,0.00,154
104.31.93.88,280796,0.10,146
104.31.156.18,548265,0.10,163
172.64.73.11,492148,0.30,196
104.16.183.182,316022,0.10,151
104.22.37.232,522869,0.20,153
104.27.39.128,1132121,0.20,158
104.27.176.93,426968,0.20,166
104.31.82.107,435625,0.00,199
172.67.78.189,493378,0.00,218
104.24.189.170,384015,0.30,166
104.24.215.151,377871,0.20,169
104.27.192.32,549084,0.20,165
104.16.250.111,501570,0.00,144
104.18.116.28,282025,100.00,0
104.19.143.28,507305,0.10,178
104.21.204.216,352476,0.00,152
104.24.160.147,325442,0.00,169
104.19.127.210,1516308,0.20,141
104.20.14.47,485596,0.00,216
104.28.104.62,649026,0.10,165
104.28.126.101,726748,0.40,153
172.67.81.54,709609,0.00,188
104.17.138.110,557686,100.00,0
104.17.241.163,346741,0.30,148
104.22.11.179,314383,0.30,178
104.27.90.71,1472682,0.00,204
104.27.137.147,420058,0.10,240
104.24.80.42,428252,0.10,153
104.24.150.220,257039,100.00,0
104.31.77.214,493788,100.00,0
104.18.121.60,513039,0.30,147
104.18.214.70,345922,0.20,143
104.19.60.159,465116,100.00,0
104.19.216.164,508124,0.10,148
104.21.197.229,304962,100.00,0
172.64.98.60,431119,0.00,222
104.25.86.127,424156,100.00,0
104.27.9.148,394665,0.20,167
162.159.241.156,468802,0.10,165
104.18.52.107,674421,100.00,0
104.18.163.0,314383,100.00,0
104.19.15.229,524918,0.00,162
104.19.202.240,456924,0.10,160
104.22.48.65,189455,0.00,155
104.17.41.200,428661,0.30,148
104.17.233.213,488873,0.10,176
104.31.253.46,238607,0.00,180
104.21.18.61,274652,100.00,0
104.21.218.111,265231,0.20,164
104.24.5.190,1881195,0.10,153
104.16.50.151,382377,100.00,0
104.19.5.99,438492,0.00,162
104.19.165.119,361,0.10,155
104.19.222.154,384834,0.20,167
104.21.4.235,114498,0.10,167
172.67.161.185,524507,0.20,160
104.16.215.77,720,0.00,169
104.18.178.199,1168821,0.20,173
104.19.255.185,466345,0.00,190
104.24.111.15,285301,100.00,0
104.24.134.119,542121,0.00,147
162.159.210.234,571202,0.30,216
172.67.179.66,499932,0.10,177
104.16.173.225,434396,0.00,178
104.16.184.88,617897,0.10,158
104.20.9.172,295951,0.50,143
104.28.101.153,361078,0.10,188
104.31.8.185,424156,0.00,193
104.25.17.172,256220,0.10,174
104.31.71.32,548674,0.10,156
104.31.239.231,434805,0.20,165
104.16.47.21,512630,100.00,0
104.16.229.34,576117,100.00,0
104.17.21.168,297999,0.20,163
104.19.31.141,609705,0.30,161
104.22.10.57,233282,0.10,140
172.64.175.71,375413,0.10,174
172.67.89.233,515497,0.00,175
104.17.22.28,486005,100.00,0
104.24.233.190,967769,100.00,0
104.31.167.183,229186,0.10,144
172.67.61.135,438902,0.30,159
172.67.226.70,145628,0.10,203
104.16.199.111,382786,0.10,157
104.17.171.89,0,0.00,0
104.19.194.172,620764,0.20,149
104.20.107.11,979261,0.10,163
104.24.177.219,276290,0.10,169
104.27.195.84,561781,0.20,165
172.67.238.157,445455,0.00,157
104.16.119.13,304962,0.10,152
104.17.47.39,599465,0.00,153
104.20.11.6,387292,100.00,0
104.24.212.53,561781,0.20,144
104.25.6.167,602741,0.00,188
104.28.60.53,528604,0.00,186
104.17.8.117,329539,100.00,0
104.18.211.67,499113,0.30,179
104.20.77.58,400809,0.10,154
104.21.113.125,382786,0.10,178
104.27.189.46,541712,0.00,157
104.22.12.180,273014,0.10,155
104.28.175.107,648617,0.10,163
104.31.154.98,504847,0.00,151
104.17.92.204,169794,0.20,193
104.19.77.153,1772397,100.00,0
104.19.170.33,354,0.00,153
104.21.67.28,428662,0.00,238
104.21.70.162,444225,0.30,137
104.17.79.169,432348,0.00,208
104.17.232.143,240245,0.20,195
104.19.73.11,1784760,100.00,0
104.19.162.126,596597,0.10,153
141.101.115.65,522460,0.10,153
104.18.157.209,427433,0.00,0
104.19.106.211,471669,100.00,0
104.25.250.244,379510,0.00,143
104.27.181.191,264822,0.30,177
172.64.161.0,311926,0.10,194
172.67.187.77,283663,0.00,173
104.16.66.34,419650,0.10,161
104.16.113.195,420879,0.00,141
104.20.89.5,395074,0.10,148
104.21.14.184,467983,0.10,167
104.27.128.246,396657,0.20,247
104.19.161.26,366402,0.10,150
104.25.106.127,486006,0.20,153
172.64.99.249,506076,0.20,184
104.16.27.53,607657,0.60,142
104.20.83.169,532700,0.00,179
104.20.126.138,426204,0.30,163
104.28.206.167,1594583,0.00,157
104.20.97.197,587177,0.10,154
104.27.19.123,382377,0.00,153
104.16.200.9,599465,0.20,178
104.18.55.35,508943,0.10,0
104.18.254.116,596188,0.10,171
104.19.177.59,443817,0.10,179
104.20.45.146,387701,0.30,177
104.17.40.251,384425,0.30,165
104.22.17.84,1216869,0.10,154
104.24.144.148,309468,0.10,140
104.27.67.24,734369,0.00,160
104.28.191.39,390159,0.00,164
172.67.252.117,586358,0.00,241
104.16.136.207,443407,0.20,151
104.25.13.134,416373,100.00,0
104.25.102.224,597007,100.00,0
104.28.119.100,426204,0.20,169
104.28.131.7,395893,0.10,207
104.21.236.201,192322,0.00,152
104.24.175.214,430709,0.00,159
104.27.143.220,381146,0.00,222
104.17.124.92,412277,0.20,0
104.17.139.156,803129,0.20,142
104.17.215.117,405724,0.00,144
104.19.131.252,214031,0.60,166
104.21.122.191,294722,0.40,169
104.28.64.5,255810,0.20,218
104.28.217.158,392207,0.10,154
104.28.219.98,363945,0.10,172
172.64.169.0,416783,0.10,205
104.16.43.222,393027,100.00,0
104.23.143.60,417602,0.20,151
104.25.52.45,490511,100.00,0
104.25.88.6,535975,0.00,166
104.17.165.125,1314811,0.20,147
104.18.122.118,363535,0.20,142
104.20.157.241,318889,100.00,0
104.24.92.121,364354,0.20,179
104.27.186.22,512630,0.20,172
104.31.91.220,299228,0.20,209
104.17.3.155,545398,100.00,0
104.18.123.112,618716,0.10,149
104.22.51.180,2335553,0.10,153
104.27.22.42,491330,0.10,155
104.27.175.161,551951,0.10,179
104.28.158.3,387292,100.00,0
104.31.1.3,338140,0.20,161
172.67.51.181,437263,0.00,155
104.16.44.228,675651,0.00,165
104.24.44.164,432348,0.30,151
104.27.64.154,536796,0.00,166
104.27.131.192,300865,0.00,214
104.28.8.181,220585,0.00,151
104.31.198.228,487644,0.20,177
104.18.115.20,1082,0.00,176
104.24.66.27,499522,0.10,179
104.24.163.220,486006,0.20,176
104.25.167.22,714603,0.00,169
104.27.88.244,235740,0.20,149
104.17.61.110,402857,0.10,179
104.20.129.92,355753,0.20,154
104.20.169.249,461429,0.10,192
104.21.69.248,515497,0.20,155
